,filename,genre,hash,minNeighbors,people,scaleFactor
166,"['1998_d6c866bf-1bab-4c35-b538-d4b42c0d93ed_hip-hop', 'jpg']",hip-hop,d6c866bf-1bab-4c35-b538-d4b42c0d93ed,4,0,1.09
167,"['1998_de32ea23-1f25-4359-93ee-afdc9de2b6dc_electronic', 'jpg']",electronic,de32ea23-1f25-4359-93ee-afdc9de2b6dc,4,2,1.09
168,"['1998_f06c5dc0-e7c4-4511-b30a-b09d78c0c625_pop', 'jpg']",pop,f06c5dc0-e7c4-4511-b30a-b09d78c0c625,4,0,1.09
169,"['1998_ff7d4424-3041-4a6b-9960-d602b0ce7855_country', 'jpg']",country,ff7d4424-3041-4a6b-9960-d602b0ce7855,4,0,1.09
170,"['1999_0c25166a-9684-43ae-8349-a3133269d3e2_rock', 'jpg']",rock,0c25166a-9684-43ae-8349-a3133269d3e2,4,1,1.09
171,"['1999_0f6a17e6-b9d7-4a9a-af7d-665dcb5da460_hip-hop', 'jpg']",hip-hop,0f6a17e6-b9d7-4a9a-af7d-665dcb5da460,4,0,1.09
172,"['1999_19c9c45f-fd34-4f0d-9bc8-f53e6cbce3cb_rock', 'jpg']",rock,19c9c45f-fd34-4f0d-9bc8-f53e6cbce3cb,4,0,1.09
173,"['1999_1e4a9a21-7599-4d23-9193-d28bced2fb6b_hip-hop', 'jpg']",hip-hop,1e4a9a21-7599-4d23-9193-d28bced2fb6b,4,0,1.09
174,"['1999_2cfa71de-25e5-433a-a689-01b9d140f59d_pop', 'jpg']",pop,2cfa71de-25e5-433a-a689-01b9d140f59d,4,0,1.09
175,"['1999_3566c002-a04d-480f-8246-640e9f4e8108_electronic', 'jpg']",electronic,3566c002-a04d-480f-8246-640e9f4e8108,4,0,1.09
176,"['1999_3a8c1b8b-30fa-33c3-9ef8-ec9f542f9491_rock', 'jpg']",rock,3a8c1b8b-30fa-33c3-9ef8-ec9f542f9491,4,0,1.09
177,"['1999_4947b1b5-926c-4148-80ce-9e662356c47e_hip-hop', 'jpg']",hip-hop,4947b1b5-926c-4148-80ce-9e662356c47e,4,0,1.09
178,"['1999_49ebe9c7-570e-4d87-ad3a-e54d4ad85b30_electronic', 'jpg']",electronic,49ebe9c7-570e-4d87-ad3a-e54d4ad85b30,4,0,1.09
179,"['1999_4fc77d6e-e721-4c57-b6e4-61cad4a2b5ed_hip-hop', 'jpg']",hip-hop,4fc77d6e-e721-4c57-b6e4-61cad4a2b5ed,4,0,1.09
180,"['1999_5528841d-3e6f-4e4c-97f9-e1d1cc196206_electronic', 'jpg']",electronic,5528841d-3e6f-4e4c-97f9-e1d1cc196206,4,0,1.09
181,"['1999_5c05047d-aa78-39b1-8a95-9a302b056110_rock', 'jpg']",rock,5c05047d-aa78-39b1-8a95-9a302b056110,4,0,1.09
182,"['1999_647bdfce-8294-480a-b8fe-b331161e97de_rock', 'jpg']",rock,647bdfce-8294-480a-b8fe-b331161e97de,4,0,1.09
183,"['1999_6aa63fe8-aa2d-4cdc-afe4-1f84803b496b_rock', 'jpg']",rock,6aa63fe8-aa2d-4cdc-afe4-1f84803b496b,4,1,1.09
184,"['1999_6c41a584-37e5-4710-aa5d-1f75c50d61f0_hip-hop', 'jpg']",hip-hop,6c41a584-37e5-4710-aa5d-1f75c50d61f0,4,1,1.09
185,"['1999_78d4a493-4036-338f-8eef-466f38b3e935_rock', 'jpg']",rock,78d4a493-4036-338f-8eef-466f38b3e935,4,1,1.09
